#KEY	Filter on data 192: Filtered BAM	Filter on data 184: Filtered BAM	Filter on data 182: Filtered BAM	Filter on data 194: Filtered BAM	Filter on data 188: Filtered BAM	Filter on data 196: Filtered BAM	Filter on data 190: Filtered BAM	Filter on data 186: Filtered BAM
TU543	76	39	58	50	53	30	35	43
TU544	100	66	47	56	49	30	94	71
TU545	1626	1437	1929	1807	1664	1733	1285	1026
TU546	24	35	36	17	28	27	19	11
TU547	44	54	29	31	37	33	25	17
TU548	5453	5021	4885	5091	5253	2884	3561	3654
TU549	71	54	51	43	46	15	37	59
TU55	99	142	89	107	115	83	79	77
TU550	59	77	81	48	66	61	47	38
TU551	72	85	99	85	113	134	79	96
TU552	105	57	98	88	98	71	94	87
TU553	22	18	21	8	11	13	17	15
TU554	7	11	12	10	14	4	5	7
TU555	0	0	0	0	0	2	2	1
TU556	728	680	781	546	539	724	516	474
TU557	8	12	13	4	4	15	4	7
TU558	80	73	91	63	75	72	53	51
TU559	30	37	20	15	14	9	16	8
TU56	82	86	83	87	117	61	92	60
TU560	51	23	47	33	47	25	15	9
TU561	653	541	694	513	664	427	364	417
TU562	130	107	162	163	237	64	72	69
TU563	657	489	682	462	576	758	666	511
TU564	703	590	716	641	706	629	519	445
TU565	17	22	26	20	13	21	20	13
TU566	3533	2972	4577	2341	2995	2243	2524	2713
TU567	956	769	817	1010	1396	481	640	773
TU568	292	338	319	217	219	240	253	189
TU569	756	585	893	633	707	519	517	472
TU57	2123	1885	2263	2203	2557	1615	1857	1703
TU570	358	284	338	356	475	277	316	215
TU571	10	9	10	13	7	7	7	10
TU572	25	28	38	27	33	44	21	27
TU573	26	25	24	14	18	6	19	10
TU574	661	912	755	569	722	628	492	349
TU575	72	76	109	71	85	79	62	56
TU576	722	550	691	613	591	574	905	597
TU577	2229	1845	2316	2042	2257	1657	1872	1547
TU578	190	133	134	127	193	52	90	136
TU579	156	144	224	156	176	87	114	78
TU58	119	86	112	99	127	48	80	67
TU580	395	424	602	421	505	455	329	288
TU581	274	183	272	181	366	112	157	193
TU582	623	569	700	646	857	562	388	441
TU583	71	86	102	71	57	127	67	73
TU584	6733	7965	6491	4668	5710	8725	6897	4944
TU585	4970	6703	5497	3801	4462	5270	5340	5307
TU586	314	275	416	343	377	382	316	309
TU587	722	755	732	583	760	651	667	663
TU588	1611	1569	1778	1300	1360	2190	1158	918
TU589	42	48	47	35	34	36	43	41
TU59	78	77	47	64	86	15	47	53
TU590	4718	3667	4355	5314	5548	2257	3212	2793
TU591	103	119	140	91	98	129	83	48
TU592	12	23	14	12	28	15	12	8
TU593	289	285	323	299	328	220	229	175
TU594	477	433	493	353	477	253	375	305
TU595	124	147	145	154	162	91	111	132
TU596	43	24	24	34	25	20	36	24
TU597	342	378	294	257	369	215	257	200
TU598	893	723	1052	943	1065	766	662	611
TU599	10765	9058	11680	13663	16051	8713	10589	8510
TU6	85	145	172	116	173	120	92	70
TU60	81	57	77	36	68	82	66	61
TU600	83	73	61	76	76	102	68	51
TU6001	85	81	104	61	123	62	62	49
TU6002	3	0	3	3	5	1	3	1
TU6003	0	0	0	0	0	0	0	0
TU6004	0	0	0	0	0	0	0	0
TU6005	0	0	0	0	0	0	0	0
TU6006	0	0	0	0	0	0	0	0
TU6007	0	0	0	0	0	0	0	0
TU6008	0	0	0	0	0	0	0	0
TU6009	0	0	0	0	0	0	0	0
TU601	222	172	242	225	302	181	131	147
TU6010	0	0	0	0	0	0	0	0
TU6011	0	0	0	0	0	0	0	0
TU6012	0	0	0	0	0	0	0	0
TU6013	0	0	0	0	0	0	0	0
TU6014	0	0	0	0	0	0	0	0
TU6015	0	0	0	0	0	0	0	0
TU6016	0	0	0	0	0	0	0	0
TU6017	0	0	0	0	0	0	0	0
TU6018	0	0	0	0	0	0	0	0
TU6019	0	0	0	0	0	0	0	0
TU602	295	318	311	251	299	516	277	228
TU6020	0	0	0	0	0	0	0	0
TU6021	0	0	0	0	0	0	0	0
TU6022	0	0	0	0	0	0	0	0
TU6023	0	0	0	0	0	0	0	0
TU6024	0	0	0	0	0	0	0	0
TU6025	0	0	0	0	0	0	0	0
TU6026	0	0	0	0	0	0	0	0
TU6027	525	287	556	509	630	327	233	187
TU6028	67311	48549	53942	46989	58939	51231	58918	48295
TU6029	22	27	27	10	14	7	21	4
TU603	219	162	290	258	252	166	143	135
