rowname	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TU2342	504.58975224418066	0.12910163786950285	0.1676493712119669	0.7700693234707909	0.44125877182716944	0.7896546671449926
TU3439	331.9293733885341	-0.15919860628849844	0.20700918531744703	-0.769041267634422	0.4418688125495957	0.7903639930468832
TU1485	532.9923942260864	-0.17220251327937824	0.22405619067319404	-0.7685684236707879	0.4421495566685165	0.7904839101579714
TU1195	295.8536835407819	0.1635445961185803	0.21308037004492777	0.7675253993791032	0.44276919770970546	0.7908272633163691
TU3571	742.3504224733437	-0.13516874155681863	0.1760691882219886	-0.7677024181334751	0.44266399923783795	0.7908272633163691
TU3377	1362.3492476839876	-0.10516625361266568	0.1371968419997896	-0.7665355272013256	0.4433577210497706	0.7914962404262073
TU2975	186.77937950252536	0.13789535455537374	0.18010360583136728	0.765644607273918	0.4438877948239033	0.7916783765928729
TU3383	83.87912452437557	-0.1936494737810548	0.25281116416261956	-0.7659846606160585	0.44368542939590583	0.7916783765928729
TU2936	56.35366637067249	-0.20810678449062628	0.2722685957941485	-0.7643436948121903	0.44466245293373585	0.7926777895912718
TU56	82.46473618390152	-0.18967806799576148	0.24852151520436885	-0.7632259437971874	0.44532865892822865	0.7934830006625808
TU1924	34.74751479981528	-0.26980834584934044	0.3541761379609075	-0.7617914278548058	0.44618449736170696	0.7942427602218258
TU3391	73.19627944140694	-0.1925713395592632	0.2527231907784229	-0.7619852335914106	0.4460688173300449	0.7942427602218258
TU1670	30.92342810839704	0.3408829717058879	0.44993515528796596	0.7576268884517751	0.44867437861848136	0.7959935378943706
TU1794	210.83115747309708	0.1314522842263743	0.17324720446017228	0.7587555864810148	0.4479987782641396	0.7959935378943706
TU2952	61.033520954991914	-0.23042877944813012	0.30390920599942395	-0.7582158582210468	0.44832176916021926	0.7959935378943706
TU3028	21.43565746461554	0.32384455392857564	0.4269091342273342	0.7585795851257766	0.4481040886546053	0.7959935378943706
TU3380	604.1082892097894	-0.10734313442672465	0.14145883123712338	-0.7588295017565105	0.4479545552605769	0.7959935378943706
TU387	21.920898763009813	0.33214166420626157	0.4383472438783198	0.7577135908682942	0.448622460994578	0.7959935378943706
TU5014	22.134552748103225	0.3242947715112825	0.4274600262571971	0.7586551995300692	0.44805884306168886	0.7959935378943706
